project_id,project_name,project_type,scenario_name,scenario_type,record_group,sku_id,metric,description,value,unit,data_state,source_reference,effective_date,owner_name,month_start,month_end,phase,include_in_model,notes
4,Skyline Towers,High-Rise Mixed-Use Development,Preliminary Planning — Low,downside,project_identity,IDENT-001,project_stage,project stage,concept,other,estimated,"pasted_content_25.txt, Skyline Towers 10-Point Financial OS Design Package, user-supplied 2026-08-21",,jchappell2120,,,,yes,Inferred preliminary planning scenario. Replace line-by-line with source-backed evidence when available.
4,Skyline Towers,High-Rise Mixed-Use Development,Preliminary Planning — Low,downside,project_identity,IDENT-002,program_units,program units,450,units,estimated,"pasted_content_25.txt, Skyline Towers 10-Point Financial OS Design Package, user-supplied 2026-08-21",,jchappell2120,,,,yes,Inferred preliminary planning scenario. Replace line-by-line with source-backed evidence when available.
4,Skyline Towers,High-Rise Mixed-Use Development,Preliminary Planning — Low,downside,project_identity,IDENT-003,program_buildings,program buildings,1,units,estimated,"pasted_content_25.txt, Skyline Towers 10-Point Financial OS Design Package, user-supplied 2026-08-21",,jchappell2120,,,,yes,Inferred preliminary planning scenario. Replace line-by-line with source-backed evidence when available.
4,Skyline Towers,High-Rise Mixed-Use Development,Preliminary Planning — Low,downside,project_identity,IDENT-004,program_residential_sf,program residential sf,405000,sf,estimated,"pasted_content_25.txt, Skyline Towers 10-Point Financial OS Design Package, user-supplied 2026-08-21",,jchappell2120,,,,yes,Inferred preliminary planning scenario. Replace line-by-line with source-backed evidence when available.
4,Skyline Towers,High-Rise Mixed-Use Development,Preliminary Planning — Low,downside,project_identity,IDENT-005,program_gross_sf,program gross sf,600000,sf,estimated,"pasted_content_25.txt, Skyline Towers 10-Point Financial OS Design Package, user-supplied 2026-08-21",,jchappell2120,,,,yes,Inferred preliminary planning scenario. Replace line-by-line with source-backed evidence when available.
4,Skyline Towers,High-Rise Mixed-Use Development,Preliminary Planning — Low,downside,scenario_driver,DRV-001,development_cost,development cost,200000000,usd,estimated,"pasted_content_25.txt, Skyline Towers 10-Point Financial OS Design Package, user-supplied 2026-08-21",,jchappell2120,,,,yes,Inferred preliminary planning scenario. Replace line-by-line with source-backed evidence when available.
4,Skyline Towers,High-Rise Mixed-Use Development,Preliminary Planning — Low,downside,scenario_driver,DRV-002,development_cost_per_unit,development cost per unit,444444,usd_per_unit,estimated,"pasted_content_25.txt, Skyline Towers 10-Point Financial OS Design Package, user-supplied 2026-08-21",,jchappell2120,,,,yes,Inferred preliminary planning scenario. Replace line-by-line with source-backed evidence when available.
4,Skyline Towers,High-Rise Mixed-Use Development,Preliminary Planning — Low,downside,scenario_driver,DRV-003,development_cost_per_gross_sf,development cost per gross sf,333,usd_per_sf,estimated,"pasted_content_25.txt, Skyline Towers 10-Point Financial OS Design Package, user-supplied 2026-08-21",,jchappell2120,,,,yes,Inferred preliminary planning scenario. Replace line-by-line with source-backed evidence when available.
4,Skyline Towers,High-Rise Mixed-Use Development,Preliminary Planning — Low,downside,scenario_driver,DRV-004,stabilized_occupancy_bps,stabilized occupancy bps,9000,percentage_bps,estimated,"pasted_content_25.txt, Skyline Towers 10-Point Financial OS Design Package, user-supplied 2026-08-21",,jchappell2120,,,,yes,Inferred preliminary planning scenario. Replace line-by-line with source-backed evidence when available.
4,Skyline Towers,High-Rise Mixed-Use Development,Preliminary Planning — Low,downside,scenario_driver,DRV-005,operating_expense_ratio_bps,operating expense ratio bps,3500,percentage_bps,estimated,"pasted_content_25.txt, Skyline Towers 10-Point Financial OS Design Package, user-supplied 2026-08-21",,jchappell2120,,,,yes,Inferred preliminary planning scenario. Replace line-by-line with source-backed evidence when available.
